N° Exp.,Fecha,Estado,Modelo,Matrícula,Daños,Fase,Lat - Lon,Lesiones,Fecha y hora de notificiacion,fecha y hora de arribo,fecha y hora de finalizacion,Provincia,Lugar,tipo Lugar,altura,Oficina,Canal,Fabricante
67901159/23,10/6/2023,en curso,AB-115 (Aero Boero),LV-LPI,De importancia,Aterrizaje,"(-34.18222222222222, -58.249722222222225)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),Isla Martin Garcia,AD,S/D,S/D,S/D,Aero Boero
67900259/23,7/6/2023,en curso,B-23 (Beechcraft),LV-BPE,De importancia,Rodaje salida,"(-34.67916666666667, -58.64277777777778)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),Morón,AD,S/D,S/D,S/D,Beechcraft
59831371/23,24/5/2023,en curso,B-737-800 (Boeing),LV-GGK,Leves,Crucero,"(-24.392777777777777, -65.09777777777778)",Desconocido,S/D,S/D,S/D,JUJUY (JUJ),Gobernador Guzman,AP,S/D,S/D,S/D,Boeing
59832202/23,24/5/2023,en curso,B-737-700 (Boeing),LV-CAD,Ninguno,Crucero,"(-24.392777777777777, -65.09777777777778)",Desconocido,S/D,S/D,S/D,JUJUY (JUJ),Gobernador Guzman,AP,S/D,S/D,S/D,Boeing
58147231/23,22/5/2023,en curso,B-777 (Boeing),N78008,Ninguno,Aterrizaje,"(-34.81722222222223, -58.53861111111111)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),Ministro Pistarini -Ezeiza (SAEZ),AP,S/D,S/D,S/D,Boeing
58137518/23,18/5/2023,en curso,B-737-800 (Boeing),LV-GVA,Se desconoce,Crucero,"(None, None)",Desconocido,S/D,S/D,S/D,RIO NEGRO (RNG),Bariloche,AP,S/D,S/D,S/D,Boeing
58462912/23,12/5/2023,en curso,B-200 (Beechcraft),LV-FUK,Ninguno,Crucero,"(-34.455000000000005, -58.59138888888889)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),San Fernando,LOC,S/D,S/D,S/D,Beechcraft
51844797/23,7/5/2023,en curso,PA-11 (Piper),LV-YHT,De importancia,Aproximación,"(-37.60611111111111, -62.38194444444444)",Leves,S/D,S/D,S/D,BUENOS AIRES (BUE),Pigüé,AD,S/D,S/D,S/D,Piper
51597322/23,6/5/2023,en curso,RV-7 (Van S),LV-X722,De importancia,Maniobras,"(-38.9575, -67.80611111111111)",Ninguno,S/D,S/D,S/D,RIO NEGRO (RNG),Allen,AD,S/D,S/D,S/D,Van S
51598653/23,6/5/2023,en curso,PA-25-235 (Piper),LV-MNB,De importancia,Despegue,"(-31.952222222222222, -65.38138888888888)",Ninguno,S/D,S/D,S/D,CORDOBA (CBA),San José,LOC,S/D,S/D,S/D,Piper
50911389/23,4/5/2023,en curso,PA-28-140 (Piper),LV-LDR,De importancia,Aterrizaje,"(-45.77833333333333, -67.3736111111111)",Ninguno,S/D,S/D,S/D,CHUBUT (CHU),Aeródromo Privado Chacras del Faro,AD,S/D,S/D,S/D,Piper
50323535/23,3/5/2023,en curso,152-II (Cessna),LV-CMN,Ninguno,Crucero,"(-34.74111111111111, -59.00388888888889)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),General Rodriguez,LOC,S/D,S/D,S/D,Cessna
48952747/23,29/4/2023,en curso,S-10 (Rans & Co),LV-X647,Leves,Crucero,"(-30.998055555555556, -64.53583333333333)",Ninguno,S/D,S/D,S/D,CORDOBA (CBA),La Cumbre,LOC,S/D,S/D,S/D,Rans & Co
48942146/23,28/4/2023,en curso,Aircamper (Pietenpol),LV-X676,Destruida,Maniobras,"(-25.521666666666665, -64.9725)",Fatales,S/D,S/D,S/D,SALTA (SAL),Metán,ZR,S/D,S/D,S/D,Pietenpol
45501611/23,21/4/2023,en curso,B-200 (Beechcraft),LV-WPM,De importancia,Aterrizaje,"(-24.859722222222224, -65.48861111111111)",Ninguno,S/D,S/D,S/D,SALTA (SAL),Gral. M. M. de Guemes (SASA),AP,S/D,S/D,S/D,Beechcraft
45494627/23,19/4/2023,en curso,1/3 (Experimental),LV-X471,Leves,Crucero,"(-31.886944444444445, -64.21416666666667)",Ninguno,S/D,S/D,S/D,CORDOBA (CBA),5 km NE de Monte Ralo,ZR,S/D,S/D,S/D,Experimental
42044921/23,15/4/2023,en curso,PA-25-235 (Piper),LV-OHT,De importancia,Maniobras,"(-33.18416666666666, -59.44)",Ninguno,S/D,S/D,S/D,ENTRE RIOS (ERS),Gualeguay,ZR,S/D,S/D,S/D,Piper
39839692/23,10/4/2023,en curso,182T (Textron Aviation Inc),LV-KGT,De importancia,Aterrizaje,"(-29.9225, -63.55833333333333)",Ninguno,S/D,S/D,S/D,CORDOBA (CBA),2882 EL Guri,LAD,S/D,S/D,S/D,Textron Aviation Inc
39011867/23,3/4/2023,en curso,152-II (Cessna),LV-COD,Ninguno,Despegue,"(-33.275, -66.35111111111111)",Ninguno,S/D,S/D,S/D,SAN LUIS (UIS),San Luis,AP,S/D,S/D,S/D,Cessna
37023615/23,3/4/2023,en curso,KISS 216MF (Fama),LV-X695,De importancia,Despegue,"(-34.743611111111115, -58.20666666666667)",Ninguno,S/D,S/D,S/D,BUENOS AIRES (BUE),Ezpeleta,AD,S/D,S/D,S/D,Fama
31868942/23,18/3/2023,en curso,CW-100 (Jouav),AR-VNT-798,Destruida,Aterrizaje,"(-34.96333333333334, -57.8925)",Desconocido,S/D,S/D,S/D,BUENOS AIRES (BUE),La Plata,AD,S/D,S/D,S/D,Jouav
29088914/23,16/3/2023,en curso,C-550 (Cessna),LV-WJO,Ninguno,Crucero,"(-29.666666666666668, -58.88333333333333)",Ninguno,S/D,S/D,S/D,CORRIENTES (CRR),Esquina,LOC,S/D,S/D,S/D,Cessna
27153213/23,10/3/2023,en curso,P-2002 (Tecnam),LV-S132,Leves,Despegue,"(-34.76111111111111, -68.36138888888888)",Ninguno,S/D,S/D,S/D,MENDOZA (DOZ),5488 La Rivera,LAD,S/D,S/D,S/D,Tecnam
26491414/23,10/3/2023,en curso,C-150-L (Cessna),LV-CFM,Leves,Rodaje salida,"(-31.310000000000002, -64.20833333333334)",Ninguno,S/D,S/D,S/D,CORDOBA (CBA),Ingeniero Taravella - Córdoba (SACO),AP,S/D,S/D,S/D,Cessna
25829777/23,8/3/2023,en curso,AB-180-RVR (Aero Boero),LV-MFM,De importancia,Aterrizaje,"(-26.055555555555557, -65.93694444444445)",Ninguno,S/D,S/D,S/D,SALTA (SAL),Cafayate,ZR,S/D,S/D,S/D,Aero Boero
